title,clean_title,original_title,genres,director,release_year,runtime,budget,revenue,popularity,tmdb_rating,tmdb_votes,imdb_rating,imdb_votes,language,tmdb_id,imdb_id,topics,doesthedog_id
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),birds of prey and the fantabulous emancipation of one harley quinn,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"action, crime",Cathy Yan,2020,109,75000000,205537933,66.4,6.9,10224,6.1,270462,English,495764,tt7713068,"158,167,168,174,177,182,184,188,190,193,199,201,203,208,210,216,218,219,223,225,230,232,243,250,252,255,258,263,265,268,269,270,274,276,290,293,298,299,309,311,313,318,322,328,330,334,339,342,343,345,352,361,366,367,370",21029
Parasite,parasite,기생충,"comedy, thriller, drama",Bong Joon-ho,2019,133,11363000,257591776,110.6,8.5,18347,8.5,1013557,Korean,496243,tt6751668,"158,168,177,180,188,192,197,199,201,202,203,206,211,213,216,222,223,225,229,235,237,242,243,244,245,260,263,265,269,270,271,274,277,287,294,297,298,309,311,313,318,320,328,335,336,339,343,345,348,360,363,366,370",19408
"Miraculous: Ladybug & Cat Noir, The Movie",miraculous ladybug  cat noir the movie,Miraculous - le film,"animation, fantasy, action, romance, family",Jeremy Zag,2023,107,86000000,40208268,150.8,7.7,848,6.1,7105,French,496450,tt10364034,"165,167,168,174,182,184,195,202,203,212,213,214,218,219,221,224,235,237,242,243,245,253,256,260,261,263,265,266,269,271,274,286,287,288,289,293,295,298,305,308,311,313,318,322,327,328,329,330,332,335,336,347,352",15461
Black Widow,black widow,Black Widow,"action, adventure, science fiction",Cate Shortland,2021,134,200000000,379751131,57.0,7.2,10187,6.6,440582,English,497698,tt3480822,"158,161,164,167,168,177,181,184,187,188,190,192,198,199,202,203,208,209,211,216,218,219,224,229,232,233,237,240,242,243,245,253,255,259,265,269,274,276,284,286,287,289,290,293,298,299,309,311,313,318,330,335,342,343,346,347,362,366",723455
Triangle of Sadness,triangle of sadness,Triangle of Sadness,"comedy, drama",Ruben Östlund,2022,147,15600000,24733572,45.5,7.1,2128,7.3,192377,English,497828,tt7322224,"158,168,177,180,181,182,189,191,197,201,213,214,222,223,225,229,230,233,237,241,244,245,252,255,257,260,261,266,271,276,277,278,288,297,304,305,311,313,318,324,328,335,353,354",473855
Sin,sin,Il peccato,"history, drama",Andrei Konchalovsky,2019,134,15000000,243043,8.2,5.8,72,6.8,1423,Italian,497835,tt6458228,,97310
Aline,aline,Aline,"music, comedy, drama, family",Valérie Lemercier,2020,125,25900000,11131254,11.0,6.7,352,6.3,3496,French,498402,tt9735462,,850914
Never Grow Old,never grow old,Never Grow Old,western,Ivan Kavanagh,2019,101,12000000,106796,12.3,6.0,206,6.0,5009,English,498743,tt1158939,,22914
Dora and the Lost City of Gold,dora and the lost city of gold,Dora and the Lost City of Gold,"adventure, comedy, family, fantasy",James Bobin,2019,102,49000000,120600000,44.5,6.6,1696,6.1,36133,English,499701,tt7547410,"161,165,180,181,201,202,213,214,218,235,243,268",20383
Miss Bala,miss bala,Miss Bala,action,Catherine Hardwicke,2019,104,15000000,15200000,15.3,6.4,534,5.8,13307,English,500852,tt5941692,,49002
Primal,primal,Primal,"action, adventure, thriller, horror",Nick Powell,2019,97,9000000,146863,13.0,5.6,364,4.9,11736,English,500916,tt7394816,"153,158,161,164,165,168,171,177,181,186,188,189,191,193,200,201,202,203,207,210,211,213,214,216,222,223,224,229,242,243,245,250,252,255,261,265,266,267,274",661949
Doctor Sleep,doctor sleep,Doctor Sleep,"horror, thriller, fantasy",Mike Flanagan,2019,152,45000000,72381712,22.9,7.1,4400,7.3,227423,English,501170,tt5606664,"158,161,164,168,171,176,177,184,187,188,190,192,193,201,203,204,207,208,213,218,219,224,225,230,232,242,243,245,255,257,260,261,265,266,269,270,274,279,289,296,298,299,309,311,313,318,320,328,330,334,336,343,352,366",21295
Synonyms,synonyms,Synonymes,"comedy, drama",Nadav Lapid,2019,123,2500000,242483,12.9,5.8,125,6.3,6390,French,501590,tt7016254,,93159
A Journal for Jordan,a journal for jordan,A Journal for Jordan,"drama, romance",Denzel Washington,2021,131,25000000,6700000,15.5,7.0,110,6.0,3036,English,501841,tt0995854,,476261
A Beautiful Day in the Neighborhood,a beautiful day in the neighborhood,A Beautiful Day in the Neighborhood,"drama, history",Marielle Heller,2019,109,25000000,67900000,27.3,7.0,1591,7.2,90599,English,501907,tt3224458,"168,192,204,235,241,245,261",21748
Bill & Ted Face the Music,bill  ted face the music,Bill & Ted Face the Music,"comedy, science fiction, adventure",Dean Parisot,2020,92,25000000,6300000,18.1,5.9,924,5.9,54118,English,501979,tt1086064,"180,201,207,226,243,252,262,270,274,343",65494
The Super Mario Bros. Movie,the super mario bros movie,The Super Mario Bros. Movie,"animation, family, adventure, fantasy, comedy","Michael Jelenic, Aaron Horvath",2023,93,100000000,1362000000,164.7,7.6,9194,7.0,254440,English,502356,tt6718170,,1014471
Ma,ma,Ma,"horror, thriller",Tate Taylor,2019,99,5000000,51749995,19.7,5.8,2177,5.6,61314,English,502416,tt7958736,"161,164,168,177,182,184,187,188,190,193,197,203,204,208,218,219,225,227,229,230,232,237,242,243,245,258,260,263,265,267,269,271,274,276,277,279,281,282,287,288,290,292,293,294,296,298,299,304,309,311,313,318,320,321,326,328,330,336,339,343,348,350,351,352,353,355,360,363,365,366,367",18926
Army of the Dead,army of the dead,Army of the Dead,"action, crime, horror",Zack Snyder,2021,148,90000000,190700000,36.6,6.2,3996,5.8,192770,English,503736,tt0993840,"153,158,161,164,167,168,182,183,184,188,189,197,198,200,203,210,211,215,216,221,222,223,227,232,239,240,243,245,250,252,253,254,255,266,267,270,274,289,290,296,311,322,326,328,331,339,343,352,360,361,366,367",83694
The Lighthouse,the lighthouse,The Lighthouse,"drama, fantasy, thriller",Robert Eggers,2019,109,11000000,18100000,29.6,7.5,4859,7.4,269089,English,503919,tt7984734,"180,182,188,189,194,197,200,201,202,203,211,219,222,223,225,229,230,235,237,240,245,252,255,257,260,263,267,271,273,274,277,279,290,296,298,304,309,311,318,324,328,334,335,336,339,348,351,352,356,366,370",20542
Motherless Brooklyn,motherless brooklyn,Motherless Brooklyn,"drama, thriller",Edward Norton,2019,145,26000000,18377736,11.8,6.7,1425,6.8,63972,English,504562,tt0385887,"168,182,184,188,190,192,193,211,212,232,235,241,244,245",21839
Rocketman,rocketman,Rocketman,"music, drama",Dexter Fletcher,2019,121,40000000,167300000,17.4,7.3,4635,7.3,200159,English,504608,tt2066051,"167,177,180,190,191,192,193,195,197,199,201,212,217,218,219,220,225,230,233,235,237,241,245,247,259,260,269,271,273,274,275,276,279,286,290,293,297,298,310,330,336,339,347,348,356,363,366,368,370",18985
The Bob's Burgers Movie,the bobs burgers movie,The Bob's Burgers Movie,"animation, adventure, comedy","Bernard Derriman, Loren Bouchard",2022,102,38000000,34148750,16.4,7.0,299,7.0,22440,English,504827,tt7466442,"161,167,180,184,197,202,203,210,232,235,240,242,243,245,253,257,258,269,274,287,311,318,321,324,335,339,346,366",57777
Death on the Nile,death on the nile,Death on the Nile,"mystery, crime, thriller",Kenneth Branagh,2022,127,90000000,137307235,30.5,6.4,3658,6.3,196154,English,505026,tt7657566,"161,177,187,188,189,192,193,197,199,214,225,232,237,241,242,259,286,298,299,311",147560
Serial (Bad) Weddings 2,serial bad weddings 2,Qu'est-ce qu'on a encore fait au Bon Dieu ?,comedy,Philippe de Chauveron,2019,99,18500000,87761988,20.2,5.9,1249,6.1,10053,French,505436,tt6556670,,60899
Booksmart,booksmart,Booksmart,comedy,Olivia Wilde,2019,102,6000000,24849029,20.1,7.0,2604,7.1,134587,English,505600,tt1489887,"193,195,197,201,225,235,269,274,290,299,348,356,366",18711
Black Panther: Wakanda Forever,black panther wakanda forever,Black Panther: Wakanda Forever,"action, adventure, science fiction",Ryan Coogler,2022,162,250000000,859102154,81.7,7.1,6496,6.7,320146,English,505642,tt9114286,"161,168,177,180,181,184,187,191,198,202,204,211,213,216,222,224,228,232,234,235,243,245,250,261,265,266,269,274,280,281,286,288,289,295,298,305,308",25885
Happy Birthday,happy birthday,Fête de famille,"drama, comedy",Cédric Kahn,2019,95,5350000,2536386,4.5,5.6,120,6.0,1357,French,505940,tt8080196,,1227901
Jurassic World Dominion,jurassic world dominion,Jurassic World Dominion,"adventure, action, science fiction",Colin Trevorrow,2022,147,165000000,1001978080,102.2,6.7,6085,5.6,216081,English,507086,tt8041270,"161,164,168,181,184,188,189,190,198,208,213,218,229,231,232,242,243,245,250,252,260,269,282,290,322,335,366",918115
Five Nights at Freddy's,five nights at freddys,Five Nights at Freddy's,"horror, mystery",Emma Tammi,2023,110,20000000,294803785,94.8,7.5,4037,5.4,107038,English,507089,tt4589218,"158,161,167,168,177,181,188,192,193,202,203,205,207,218,223,224,230,232,237,242,243,244,245,253,255,256,260,263,265,274,281,282,284,290,293,295,298,304,309,311,313,318,322,328,330,331,334,335,336,339,343,346,348,352,360,361,363,366",950106
The Killer's Game,the killers game,The Killer's Game,"action, comedy, crime",J.J. Perry,2024,104,30000000,5928351,156.1,6.8,148,5.7,8692,English,507241,tt0327785,"203,258,267,286,367",162717
Onward,onward,Onward,"family, animation, adventure, comedy, fantasy",Dan Scanlon,2020,103,200000000,141940042,58.9,7.7,6105,7.4,175789,English,508439,tt7146812,"161,168,184,189,196,202,204,207,208,213,235,253,256,269,313",40977
Soul,soul,Soul,"animation, family, comedy, fantasy",Pete Docter,2020,101,150000000,121977511,72.1,8.1,10447,8.0,396538,English,508442,tt2948372,"168,177,192,207,211,224,235,252,266,268,269,289,297,298,305,311,313,318,341,346,370",37888
Danger Close: The Battle of Long Tan,danger close the battle of long tan,Danger Close: The Battle of Long Tan,"war, action, drama, history",Kriv Stenders,2019,119,23934823,2078370,15.4,6.8,319,6.8,15616,English,508664,tt0441881,,774990
A Dog's Way Home,a dogs way home,A Dog's Way Home,"drama, adventure, family",Charles Martin Smith,2019,96,18000000,17643857,62.0,7.4,1098,6.7,20734,English,508763,tt7616798,"189,192,208,231,252,260,261,311,313,318,355",18440
The Sun Is Also a Star,the sun is also a star,The Sun Is Also a Star,"romance, drama",Ry Russo-Young,2019,100,9000000,6800000,26.2,7.0,578,5.9,8367,English,508791,tt6423362,197,19524
The Boy and the Heron,the boy and the heron,君たちはどう生きるか,"animation, adventure, fantasy, family, drama",Hayao Miyazaki,2023,124,50000000,294200000,125.3,7.5,1852,7.4,82165,Japanese,508883,tt6587046,"164,168,177,188,189,199,202,207,213,235,242,243,252,260,265,266,274,289,296,298,305,311,313,318,321,329,334,335,339,341,354,355,356,360,363,366",1032214
The Eight Hundred,the eight hundred,八佰,"war, history, drama, action",Guan Hu,2020,147,80000000,461421559,18.8,6.9,263,6.7,7605,Chinese,508935,tt7294150,,
Luca,luca,Luca,"animation, comedy, fantasy, adventure, family",Enrico Casarosa,2021,95,200000000,51074773,84.6,7.8,8329,7.4,203949,English,508943,tt12801262,"189,212,213,218,245,252,270,271,274,293,308,321,335,346,356,363,366",698947
Turning Red,turning red,Turning Red,"animation, family, comedy, fantasy",Domee Shi,2022,100,175000000,21328962,84.9,7.4,5218,7.0,160386,English,508947,tt8097030,,867290
Spy Cat,spy cat,Die sagenhaften Vier,"animation, adventure, comedy, family","Christoph Lauenstein, Wolfgang Lauenstein",2019,84,9000000,3882729,10.6,6.8,77,5.4,1378,German,509733,tt5746054,,65440
The Fanatic,the fanatic,The Fanatic,"crime, thriller",Fred Durst,2019,89,18000000,3153,8.2,4.5,305,4.1,12804,English,509853,tt7869070,"171,177,188,193,200,230,232,235,242,244,248,263",21755
Seberg,seberg,Seberg,"thriller, drama",Benedict Andrews,2019,103,8000000,592565,10.7,5.9,251,6.0,10659,English,510298,tt1780967,,22346
The Good Liar,the good liar,The Good Liar,crime,Bill Condon,2019,109,10000000,33856058,19.5,6.7,1110,6.7,50018,English,511322,tt5563334,"168,177,182,187,192,200,218,223,237,245,292,326",21522
"My Sailor, My Love",my sailor my love,"My Sailor, My Love","drama, romance",Klaus Härö,2022,102,4600000,159180,3.5,6.2,16,7.1,1373,English,511424,tt5851696,,482526
West Side Story,west side story,West Side Story,"drama, romance, crime",Steven Spielberg,2021,156,100000000,76016171,27.6,7.0,1545,7.1,98489,English,511809,tt3581652,"158,167,177,180,181,182,188,197,212,222,226,232,233,259,262,269,286,295,311,313,326,328,330,343",72341
Crawl,crawl,Crawl,"horror, thriller",Alexandre Aja,2019,87,13500000,91500000,32.1,6.3,3081,6.1,96954,English,511987,tt8364368,"158,161,165,188,189,200,202,213,216,223,232,235,245,250,252,255,256,274,281,290,298,305,311,322,331,332,335,339,355,362,366",18747
Red Notice,red notice,Red Notice,"action, comedy, crime",Rawson Marshall Thurber,2021,118,160000000,178143,61.2,6.8,5748,6.3,330486,English,512195,tt7991608,"176,181,184,203,205,218,232,237,243,245,256,258,274,279,298,299",483045
Happy Death Day 2U,happy death day 2u,Happy Death Day 2U,"comedy, horror, science fiction",Christopher Landon,2019,100,9000000,64600000,19.7,6.3,3369,6.2,89162,English,512196,tt8155288,"158,161,167,168,184,187,188,192,199,201,211,232,241,242,244",17812
Jumanji: The Next Level,jumanji the next level,Jumanji: The Next Level,"adventure, comedy, fantasy",Jake Kasdan,2019,123,125000000,801693929,73.1,6.9,8624,6.7,295494,English,512200,tt7975244,,726934
Honey Boy,honey boy,Honey Boy,drama,Alma Har'el,2019,94,3500000,3400977,10.9,7.1,664,7.2,41600,English,512263,tt8151874,"182,184,193,197,201,213,214,218,219,222,230,237,246,251",21571
Leaving Afghanistan,leaving afghanistan,Братство,"drama, action, war",Pavel Lungin,2019,112,4302540,731827,5.8,6.6,86,6.1,1342,Russian,512954,tt8615732,,1347507
Stuber,stuber,Stuber,"action, comedy",Michael Dowse,2019,93,16000000,32400000,12.6,6.6,1284,6.2,52456,English,513045,tt7734218,"164,180,181,184,188,192,201,203,208,216,223,229,232,233,234,243,255,256,267,273,276,289,290",19480
Boss Level,boss level,Boss Level,"action, science fiction, thriller",Joe Carnahan,2021,101,45000000,2000000,21.5,6.9,1608,6.8,82412,English,513310,tt7638348,"168,184,188,203,208,210,211,232,258",64805
Invasion,invasion,Вторжение,"science fiction, drama, action",Fyodor Bondarchuk,2020,129,8819200,32104054,53.6,6.9,797,5.6,6317,Russian,514207,tt8060328,"153,158,161,165,167,168,176,181,184,188,189,192,193,194,197,202,206,212,213,219,221,225,229,230,232,235,241,242,252,256,261,269,272,274,289,296,311,312,313,328",829194
Breakthrough,breakthrough,Breakthrough,drama,Roxann Dawson,2019,116,14000000,49200000,29.6,7.6,1054,6.3,11283,English,514439,tt7083526,,20078
The Hunt,the hunt,The Hunt,"action, thriller, horror",Craig Zobel,2020,90,14000000,10550350,38.5,6.6,3182,6.6,137075,English,514847,tt8244784,"187,188,189,200,203,208,209,212,223,225,229,232,237,242,243,245,250,252,255,261,266,267,271,274,285,290,296,298,299,304,311,318,319,328,339,342,343,366",23138
The Aeronauts,the aeronauts,The Aeronauts,"adventure, drama, romance",Tom Harper,2019,100,40000000,3485251,11.5,6.8,1090,6.6,38394,English,514921,tt6141246,"171,180,187,188,189,198,211,213,229,235,245,252",22006
Jojo Rabbit,jojo rabbit,Jojo Rabbit,"comedy, war, drama",Taika Waititi,2019,108,14000000,82468705,43.3,8.0,9496,7.9,456094,English,515001,tt2584384,"158,168,180,187,188,189,192,194,202,212,213,216,218,225,227,229,232,233,235,237,244,246,252,255,258,269,271,289,290,294,298,305,311,313,318,321,328,338,339,343,351,353,360,361,366",20598
Yesterday,yesterday,Yesterday,"comedy, fantasy, music, romance",Danny Boyle,2019,116,26000000,154608856,22.0,6.7,3905,6.8,173257,English,515195,tt8079248,"184,188,192,208,210,225,235,241,269,298,334,335",19485
StarDog and TurboCat,stardog and turbocat,StarDog and TurboCat,"animation, comedy, family",Ben Smith,2019,88,2100000,585443,14.9,7.1,90,5.1,2512,English,515789,tt7531096,,169268
Antlers,antlers,Antlers,"drama, horror, mystery",Scott Cooper,2021,99,17000000,18867659,23.2,6.2,1086,5.9,46390,English,516329,tt7740510,"158,161,167,168,171,177,181,182,188,189,192,193,197,199,201,202,203,212,213,216,218,219,222,224,230,232,236,245,247,252,253,254,255,265,293",47711
The Empty Man,the empty man,The Empty Man,"horror, mystery, thriller",David Prior,2020,137,16000000,4796993,19.7,6.1,808,6.2,41867,English,516632,tt5867314,"153,158,161,167,168,176,177,181,184,187,188,192,193,197,199,200,202,203,207,211,213,222,224,227,232,237,241,242,243,245,252,253,255,260,263,265,269,274,279,285,286,296,297,298,311,313,318,334,336,339,343,351,366",231374
Gundala,gundala,Gundala,"action, adventure, science fiction, drama",Joko Anwar,2019,123,1863258,4223384,8.3,6.2,317,6.1,5956,Indonesian,516700,tt8237172,,48502
Balkan Line,balkan line,Балканский рубеж,"drama, action, war",Andrey Volgin,2019,130,3500000,4944386,26.0,7.5,506,6.6,10727,Russian,517093,tt5951188,,49952
Hatching,hatching,Pahanhautoja,"horror, fantasy, drama",Hanna Bergholm,2022,91,3896000,508000,23.6,6.3,414,6.2,16429,Finnish,517302,tt12519030,"153,158,161,171,176,177,180,188,189,192,199,201,206,213,218,219,222,223,229,241,250,252,255,257,260,261,266,285,289,293,296,304,305,311,330,331,339,343,350,352,355,366",46621
Tesla,tesla,Tesla,"history, drama",Michael Almereyda,2020,102,5000000,459051,13.7,5.8,326,5.1,10874,English,517412,tt5259822,189,486543
Lancaster Skies,lancaster skies,Lancaster Skies,"drama, war, action",Callum Burn,2019,98,80000,67522,5.1,5.8,52,4.3,1752,English,517517,tt3486080,,486611
